#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",TotCases/1M Pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
187,Antigua and Barbuda,26,,3,,19,4,1,266,31,246,2514,97866
188,St. Vincent Grenadines,26,,,,15,11,,234,,593,5346,110914
189,Gambia,25,,1,,20,4,,10,0,1756,728,2410649
190,Namibia,25,,,,16,9,,10,,3970,1565,2537081
191,Timor-Leste,24,,,,24,0,,18,,1290,980,1316345
192,Grenada,23,,,,18,5,2,204,,3516,31258,112483
193,Cura�ao,20,1,1,,15,4,,122,6,572,3487,164042
194,New Caledonia,20,,,,18,2,,70,,6681,23419,285282
195,Laos,19,,,,16,3,,3,,7249,998,7266993
196,Belize,18,,2,,16,0,,45,5,1572,3959,397028
197,Dominica,18,2,,,16,2,,250,,433,6016,71973
198,Fiji,18,,,,15,3,,20,,2431,2713,895943
199,Saint Lucia,18,,,,18,0,,98,,1012,5513,183563
200,Saint Kitts and Nevis,15,,,,15,0,,282,,396,7448,53170
201,Falkland Islands,13,,,,13,0,,3745,,503,144915,3471
202,Greenland,13,,,,11,2,,229,,2174,38300,56763
203,Turks and Caicos,12,,1,,11,0,,310,26,153,3956,38675
204,Vatican City,12,,,,2,10,,14981,,,,801
205,Montserrat,11,,1,,10,0,,2204,200,61,12220,4992
206,Seychelles,11,,,,11,0,,112,,,,98300
207,MS Zaandam,9,,2,,,7,,,,,,
208,Western Sahara,9,,1,,6,2,,15,2,,,596066
209,British Virgin Islands,8,,1,,7,0,,265,33,167,5527,30216
210,Papua New Guinea,8,,,,8,0,,1,,4646,520,8932864
211,Caribbean Netherlands,7,,,,7,0,,267,,424,16181,26204
212,St. Barth,6,,,,6,0,,608,,137,13873,9875
213,Anguilla,3,,,,3,0,,200,,41,2735,14993
214,Lesotho,2,,,,1,1,,1,,283,132,2140931
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,5796
,Total:,6479177,115981,381859,4669,3007581,3089737,54527,831,49,,,
